StudentID,LMS_Logins_Per_Week,Login_Drop_Ratio,Attendance_Percentage,Attendance_Trend,Avg_Assignment_Delay_Days,Late_Submission_Ratio,Night_Activity_Ratio,Avg_Session_Duration_Min,Feedback_Text,Sentiment_Score,Burnout_Risk_Score,Burnout_Risk_Level,Dropout_Probability,Academic_Disengagement,Risk_Label,Recommended_Intervention
S0087,4,0.2,79.69,-34.51,3.74,0.0,0.57,21.33,I am managing studies well.,0.59,22,Low,20,No,0,['Early Academic Warning Notification']
S0088,9,0.63,93.56,-38.08,0.54,0.27,0.33,45.99,I am managing studies well.,0.77,40,Medium,40,No,1,['Early Academic Warning Notification']
S0089,4,0.01,84.74,-36.4,0.64,0.0,0.1,63.16,Feeling stressed and tired.,-0.9,41,Medium,43,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0090,2,0.02,99.92,-8.77,0.27,0.0,0.12,51.12,Too much academic pressure.,-0.68,29,Low,22,No,0,['Mental Wellness Counseling Recommended']
S0091,7,0.43,59.1,-18.03,3.9,0.47,0.31,34.46,Routine semester.,0.06,26,Low,34,No,0,['Schedule Faculty Counseling Session']
S0092,10,0.05,86.53,6.87,2.09,0.42,0.17,10.16,Routine semester.,0.09,9,Low,32,No,0,['Regular Monitoring — No Immediate Intervention']
S0093,7,0.47,74.99,-27.67,1.94,0.24,0.13,11.99,Assignments are manageable.,0.05,23,Low,17,No,0,['Early Academic Warning Notification']
S0094,2,0.0,64.3,7.9,3.94,0.0,0.09,32.54,Assignments are manageable.,-0.05,3,Low,20,No,0,['Regular Monitoring — No Immediate Intervention']
S0095,5,0.1,49.49,-0.29,5.79,0.35,0.18,43.69,Course workload is balanced.,0.74,50,Medium,70,Yes,1,"['Schedule Faculty Counseling Session', 'Provide Assignment Deadline Extension Support']"
S0096,5,0.5,76.6,-0.76,0.64,0.58,0.51,36.13,Assignments are manageable.,-0.03,15,Low,14,No,0,['Regular Monitoring — No Immediate Intervention']
S0097,8,0.17,100.0,-20.81,1.09,0.87,0.67,16.51,I feel overwhelmed.,-0.99,65,Medium,59,No,1,"['Early Academic Warning Notification', 'Academic Mentor Follow-up', 'Mental Wellness Counseling Recommended', 'Sleep Hygiene Awareness Program']"
S0098,7,0.39,76.16,-15.85,6.17,0.29,0.43,55.56,Routine semester.,0.04,16,Low,19,No,0,['Provide Assignment Deadline Extension Support']
S0099,3,0.06,60.47,-27.65,0.68,0.23,0.35,71.36,Course workload is balanced.,0.44,28,Low,22,No,0,['Early Academic Warning Notification']
S0100,3,0.2,44.74,4.99,1.08,0.32,0.35,27.92,I enjoy learning new topics.,0.84,26,Low,14,Yes,0,['Schedule Faculty Counseling Session']
S0101,5,0.34,71.46,-27.45,0.37,0.36,0.47,43.05,Hard to keep up with deadlines.,-0.67,44,Medium,43,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0102,7,0.0,65.78,-14.37,2.22,0.25,0.55,52.05,I enjoy learning new topics.,0.5,9,Low,20,No,0,['Regular Monitoring — No Immediate Intervention']
S0103,8,0.01,97.66,-13.06,1.77,0.01,0.3,62.97,I feel overwhelmed.,-0.42,30,Low,31,No,0,['Mental Wellness Counseling Recommended']
S0104,8,0.0,99.65,-24.16,3.97,0.2,0.18,55.22,Hard to keep up with deadlines.,-0.74,50,Medium,42,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0105,10,0.25,100.0,-4.03,9.77,0.06,0.34,66.35,Course workload is balanced.,0.59,19,Low,32,No,0,['Provide Assignment Deadline Extension Support']
S0106,5,0.17,96.81,-34.97,3.64,0.13,0.12,33.55,I am managing studies well.,0.77,28,Low,37,No,0,['Early Academic Warning Notification']
S0107,6,0.09,71.96,1.85,3.57,0.56,0.22,42.52,I enjoy learning new topics.,0.42,9,Low,19,No,0,['Regular Monitoring — No Immediate Intervention']
S0108,9,0.0,45.9,3.23,4.83,0.0,0.41,21.15,I enjoy learning new topics.,0.84,28,Low,25,Yes,0,['Schedule Faculty Counseling Session']
S0109,5,0.31,97.77,-25.92,0.42,0.41,0.76,34.07,Assignments are manageable.,-0.08,38,Medium,48,No,1,"['Early Academic Warning Notification', 'Sleep Hygiene Awareness Program']"
S0110,6,0.0,77.91,-0.27,1.49,0.32,0.19,63.24,Everything is okay.,0.13,1,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0111,7,0.26,66.92,-1.31,3.49,0.57,0.18,66.3,Assignments are manageable.,0.08,0,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0112,6,0.0,100.0,-36.45,2.32,0.08,0.1,5.0,Course workload is balanced.,0.77,30,Low,21,No,0,['Early Academic Warning Notification']
S0113,1,0.03,100.0,-11.4,0.27,0.0,0.36,36.11,Too much academic pressure.,-0.93,27,Low,28,Yes,0,"['Mental Wellness Counseling Recommended', 'Learning Engagement Monitoring']"
S0114,6,0.0,43.94,5.38,2.75,0.53,0.55,42.94,Assignments are manageable.,-0.18,33,Low,49,Yes,0,['Schedule Faculty Counseling Session']
S0115,4,0.42,100.0,-36.45,0.53,0.23,0.11,63.14,I am managing studies well.,0.76,22,Low,24,No,0,['Early Academic Warning Notification']
S0116,4,0.39,57.13,-39.41,2.33,0.0,0.21,41.86,Assignments are manageable.,0.02,54,Medium,66,No,1,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification']"
S0117,8,0.0,90.56,2.88,3.47,0.26,0.63,63.42,Assignments are manageable.,0.08,12,Low,2,No,0,['Sleep Hygiene Awareness Program']
S0118,4,0.57,100.0,-22.97,6.19,0.25,0.11,72.31,I enjoy learning new topics.,0.53,45,Medium,44,No,1,"['Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support']"
S0119,3,0.27,90.93,-20.79,2.02,0.0,0.23,71.97,Too much academic pressure.,-0.46,50,Medium,56,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0120,8,0.12,83.67,-12.91,1.54,0.49,0.47,22.53,I am managing studies well.,0.43,5,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0121,5,0.0,75.89,-19.91,9.0,0.63,0.6,14.48,Feeling stressed and tired.,-0.71,69,Medium,53,No,1,"['Provide Assignment Deadline Extension Support', 'Academic Mentor Follow-up', 'Mental Wellness Counseling Recommended']"
S0122,7,0.26,66.69,3.85,4.62,0.41,0.24,60.92,Too much academic pressure.,-0.83,22,Low,28,No,0,['Mental Wellness Counseling Recommended']
S0123,11,0.02,100.0,4.65,1.39,0.48,0.58,31.8,Too much academic pressure.,-0.78,26,Low,18,No,0,['Mental Wellness Counseling Recommended']
S0124,4,0.07,97.13,-39.28,4.18,0.45,0.15,63.78,I enjoy learning new topics.,0.91,26,Low,33,No,0,['Early Academic Warning Notification']
S0125,3,0.0,47.35,-36.7,0.38,0.21,0.04,53.18,Too much academic pressure.,-0.97,69,Medium,78,Yes,1,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0126,3,0.42,67.4,6.46,4.49,0.24,0.47,41.2,I am managing studies well.,0.61,6,Low,8,No,0,['Regular Monitoring — No Immediate Intervention']
S0127,6,0.25,70.17,-27.9,4.53,0.47,0.19,25.22,Feeling stressed and tired.,-0.7,43,Medium,51,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0128,3,0.0,100.0,-39.99,0.12,0.3,0.54,22.83,Faculty support is helpful.,0.46,25,Low,36,No,0,['Early Academic Warning Notification']
S0129,8,0.18,100.0,-20.62,6.27,0.58,0.29,41.77,Course workload is balanced.,0.58,38,Medium,39,No,1,"['Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support']"
S0130,3,0.3,77.5,-14.98,2.33,0.0,0.3,30.94,Course workload is balanced.,0.89,6,Low,20,No,0,['Regular Monitoring — No Immediate Intervention']
S0131,7,0.01,71.64,-7.42,0.61,0.64,0.06,33.43,I am managing studies well.,0.62,19,Low,25,No,0,['Academic Mentor Follow-up']
S0132,1,0.0,82.38,1.77,1.31,0.0,0.01,39.61,Faculty support is helpful.,0.98,10,Low,7,Yes,0,['Learning Engagement Monitoring']
S0133,7,0.14,83.84,-26.72,2.31,0.76,0.2,43.3,Hard to keep up with deadlines.,-0.49,55,Medium,55,No,1,"['Early Academic Warning Notification', 'Academic Mentor Follow-up', 'Mental Wellness Counseling Recommended']"
S0134,4,0.0,63.43,-36.72,0.23,0.06,0.52,50.74,I enjoy learning new topics.,0.45,22,Low,22,No,0,['Early Academic Warning Notification']
S0135,3,0.52,91.15,-11.09,2.98,0.19,0.05,52.77,Assignments are manageable.,-0.08,10,Low,7,No,0,['Regular Monitoring — No Immediate Intervention']
S0136,4,0.0,76.88,7.9,2.82,0.36,0.56,36.39,Faculty support is helpful.,0.73,5,Low,18,No,0,['Regular Monitoring — No Immediate Intervention']
S0137,2,0.0,74.67,-37.5,3.34,0.41,0.24,25.67,Hard to keep up with deadlines.,-0.63,46,Medium,47,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0138,10,0.0,96.62,-7.97,0.87,0.44,0.45,14.99,Routine semester.,-0.07,1,Low,7,No,0,['Regular Monitoring — No Immediate Intervention']
S0139,4,0.72,75.06,-34.07,0.27,0.0,0.19,42.01,Course workload is balanced.,0.61,34,Low,39,No,0,['Early Academic Warning Notification']
S0140,5,0.2,60.92,-28.96,2.64,0.24,0.03,23.9,Faculty support is helpful.,0.61,20,Low,29,No,0,['Early Academic Warning Notification']
S0141,9,0.42,71.58,-29.65,2.03,0.51,0.5,60.74,Routine semester.,0.06,30,Low,37,No,0,['Early Academic Warning Notification']
S0142,5,0.29,70.26,-40.0,4.07,0.0,0.24,64.35,Too much academic pressure.,-0.49,45,Medium,53,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0143,5,0.4,74.97,0.33,6.38,0.0,0.16,49.61,Routine semester.,0.03,20,Low,14,No,0,['Provide Assignment Deadline Extension Support']
S0144,3,0.46,60.04,-2.05,2.1,0.01,0.2,59.91,Routine semester.,0.17,1,Low,11,No,0,['Regular Monitoring — No Immediate Intervention']
S0145,5,0.43,100.0,-11.9,4.81,0.3,0.32,29.31,Hard to keep up with deadlines.,-0.77,28,Low,27,No,0,['Mental Wellness Counseling Recommended']
S0146,5,0.31,100.0,3.13,2.12,0.45,0.28,34.4,Faculty support is helpful.,0.49,5,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0147,8,0.0,72.61,-12.56,2.43,0.0,0.23,62.25,Assignments are manageable.,-0.04,8,Low,2,No,0,['Regular Monitoring — No Immediate Intervention']
S0148,3,0.0,83.2,-6.43,3.51,0.0,0.39,45.21,Faculty support is helpful.,0.57,10,Low,13,No,0,['Regular Monitoring — No Immediate Intervention']
S0149,2,0.19,100.0,-4.77,0.16,0.0,0.19,26.74,Too much academic pressure.,-0.84,29,Low,38,No,0,['Mental Wellness Counseling Recommended']
S0150,3,0.0,78.33,-35.4,2.56,0.8,0.34,60.27,Assignments are manageable.,-0.07,43,Medium,49,No,1,"['Early Academic Warning Notification', 'Academic Mentor Follow-up']"
S0151,7,0.0,100.0,-5.99,4.17,0.23,0.29,7.53,Hard to keep up with deadlines.,-0.76,24,Low,20,No,0,['Mental Wellness Counseling Recommended']
S0152,3,0.31,62.71,-2.58,1.58,0.26,0.24,30.15,I enjoy learning new topics.,0.75,7,Low,22,No,0,['Regular Monitoring — No Immediate Intervention']
S0153,3,0.52,87.18,-39.31,3.7,0.06,0.09,33.98,Routine semester.,0.07,33,Low,37,No,0,['Early Academic Warning Notification']
S0154,8,0.31,93.67,-10.78,1.37,0.0,0.28,54.43,Routine semester.,-0.02,2,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0155,5,0.37,69.01,-17.8,4.58,0.09,0.31,68.87,Assignments are manageable.,-0.1,8,Low,5,No,0,['Regular Monitoring — No Immediate Intervention']
S0156,4,0.13,66.11,-25.54,2.99,0.0,0.37,50.66,Routine semester.,0.13,25,Low,18,No,0,['Early Academic Warning Notification']
S0157,7,0.45,100.0,-14.84,4.42,0.41,0.2,43.29,Course workload is balanced.,0.66,10,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0158,4,0.29,99.52,-14.25,4.76,0.22,0.35,33.83,Course workload is balanced.,0.76,2,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0159,7,0.06,62.63,-14.99,3.6,0.6,0.33,41.71,Course workload is balanced.,0.47,22,Low,13,No,0,['Regular Monitoring — No Immediate Intervention']
S0160,5,0.1,74.01,-0.36,1.85,0.29,0.09,59.94,Everything is okay.,-0.2,7,Low,9,No,0,['Regular Monitoring — No Immediate Intervention']
S0161,7,0.64,64.0,-20.61,1.81,0.22,0.48,44.23,Routine semester.,0.12,39,Medium,20,No,1,['Early Academic Warning Notification']
S0162,3,0.35,67.91,-3.86,4.62,0.69,0.34,17.25,Faculty support is helpful.,0.4,22,Low,27,No,0,['Academic Mentor Follow-up']
